,Case,CC3,Country,Year,Banking Crisis ,Banking_Crisis_Notes,Systemic Crisis,Gold Standard,exch_usd,exch_usd_alt1,exch_usd_alt2,exch_usd_alt3,conversion_notes,national currency,exch_primary source code,exch_sources,Domestic_Debt_In_Default,Domestic_Debt_ Notes/Sources,"SOVEREIGN EXTERNAL DEBT 1: DEFAULT and RESTRUCTURINGS, 1800-2012--Does not include defaults on WWI debt to United States and United Kingdom and post-1975 defaults on Official External Creditors","SOVEREIGN EXTERNAL DEBT 2: DEFAULT and RESTRUCTURINGS, 1800-2012--Does not include defaults on WWI debt to United States and United Kingdom but includes post-1975 defaults on Official External Creditors",Defaults_External_Notes,GDP_Weighted_default,<,"Inflation, Annual percentages of average consumer prices",Independence,Currency Crises,Inflation Crises,Unnamed: 0,Unnamed: 0.1,pop_est,continent,name,iso_a3,gdp_md_est,Order,Country of president,President,Location continent,Location country,Location city,Date start,Date end,Subject,Participants,Source,Link,year
138,9,CAN,Canada,2005,0.0,,0.0,0.0,1.1623,1.1645,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1766-1870-British pound sterling, 1870-present Canada dollar",CNXRXDE.,Primary source is GFD market eop; alt1 series is IMF market eop exchange rate,0.0,,0,0.0,,0,0.0,2.2,1,0,0.0,19.0,3.0,35623680.0,North America,Canada,CAN,1674000.0,930.0,China,Hu Jintao,,Canada,Toronto,2005-09-08,2005-09-10,"Hu Jintao made remarks at the welcoming ceremony held by Canadian Governor General Adrienne Clarkson at Ridea Hall., Hu Jintao met with some members of the Senate and the House of Commons of Canada. 
, Hu Jintao held talks with Canadian Prime Minister Paul Martin on building a strategic partnership., Hu Jintao met with former Canadian Prime Minister Jean Chretien., Hu Jintao made remarks at a dinner of the China-Canada Trade and Economic Cooperation Forum. 
","Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Adrienne Clarkson, Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Paul Martin, Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Jean Chretien, Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan",,http://www.chinavitae.com//vip/index.php?mode=show&id=4070,2005.0
166,11,CHL,Chile,2001,0.0,,0.0,0.0,661,656.2,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"Pre- 1851-peso-Spanish monetary system, 1851-1960 peso Chile, 1960-1975-escudo, 1975-present Chile peso",CLXRXDE.,Primary source is GFD market eop; alt1 series is IMF pricipal eop exchange rate; alt2 series is RR-Pick's official eop; alt3 series is Pick's parallel eop exchange rate.,0.0,,0,0.0,,0,0.0,3.6,1,0,0.0,130.0,10.0,17789267.0,South America,Chile,CHL,436100.0,980.0,China,Jiang Zemin,,Chile,,2001-04-05,2001-04-07,Tour of Latin Americca,,china.org.cn/english/2001/Apr/9917.htm,https://www.fmprc.gov.cn/web/ziliao_674904/zt_674979/ywzt_675099/2355_676073/,2001.0
181,11,CHL,Chile,2016,,,,0.0,691.21,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"Pre- 1851-peso-Spanish monetary system, 1851-1960 peso Chile, 1960-1975-escudo, 1975-present Chile peso",CLXRXDE.,Primary source is Oxford Economics eop ,,,0,0.0,,0,,4.1,1,1,0.0,128.0,10.0,17789267.0,South America,Chile,CHL,436100.0,780.0,China,Xi Jinping,,Chile,Santiago,2016-11-22,2016-11-22,"Xi Jinping Holds Talks with President Michelle Bachelet of Chile, Xi Jinping Attends Opening Ceremony of China-Latin America Media Leaders Summit, Chinese president arrives in Chile for state visit, China, Chile agree to initiate talks on FTA upgrade","Xi Jinping, Michelle Bachelet, Xi Jinping, Michelle Bachelet, Xi Jinping, Michelle Bachelet",http://news.xinhuanet.com/english/2016-11/23/c_135851112.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=25716,2016.0
224,14,CRI,Costa Rica,2008,0.0,,0.0,0.0,557.9027,555.47,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1823-1848-peso Central America, 1848-1896 peso Costa Rica, 1896-present colon",CRXRXDE.,Primary source is GFD market eop; alt1 series is OXLAD-RR-IFS official eop; alt2 series is RR-Pick's official eop; alt3 series is Pick's parallel eop exchange rate.,0.0,,0,0.0,,0,0.0,13.4,1,0,0.0,236.0,34.0,4930258.0,North America,Costa Rica,CRI,79260.0,887.0,China,Hu Jintao,,Costa Rica,San Jose,2008-11-17,2008-11-17,Hu Jintao met with Costa Rican President Oscar Arias.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Xie Xuren, Yang Jiechi, Oscar Arias",http://news.xinhuanet.com/english/2008-11/17/content_10372887.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=7063,2008.0
230,14,CRI,Costa Rica,2013,0.0,,0.0,0.0,500.635,501.41,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1823-1848-peso Central America, 1848-1896 peso Costa Rica, 1896-present colon",CRXRXDE.,Primary source is GFD market eop; alt1 series is OXLAD-RR-IFS official eop; alt2 series is RR-Pick's official eop; alt3 series is Pick's parallel eop exchange rate.,0.0,,0,0.0,,0,0.0,5.2,1,0,0.0,235.0,34.0,4930258.0,North America,Costa Rica,CRI,79260.0,838.0,China,Xi Jinping,,Costa Rica,San Jose,2013-06-02,2013-06-03,"Chinese president arrives in #Costa Rica for state visit #China, Poverty elimination remains important task of Chinese government: President Xi #China #Costa Rica, Chinese, Costa Rican presidents discuss bilateral cooperation #China #Costa Rica","Xi Jinping, Liyuan Peng, Xi Jinping, Marco Tulio Zamora, Xi Jinping, Laura Chinchilla",http://news.xinhuanet.com/english/china/2013-06/03/c_124805882.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=17275,2013.0
262,16,DNK,Denmark,2012,1.0,,0.0,0.0,5.6591,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"18th century-rigsdaler, 1873-present-Krone",DKXRXDE.,Primary source is Oxford Economics eop ,0.0,,0,0.0,,0,0.0,2.4,1,0,0.0,827.0,142.0,5605948.0,Europe,Denmark,DNK,264800.0,846.0,China,Hu Jintao,,Denmark,Copenhagen,2012-06-14,2012-06-16,"President Hu arrives in Denmark for landmark visit, Chinese president, Danish PM witness signing of 11 cooperation documents, Chinese president's visit cements friendship, expands cooperation with Denmark: FM","Hu Jintao,  Margrethe II, Hu Jintao, Helle Thorning-Schmidt, Hu Jintao,  Margrethe II",http://news.xinhuanet.com/english/china/2012-06/17/c_123293575.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=14844,2012.0
302,19,EGY,Egypt,2004,0.0,,0.0,0.0,6.1314,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"pre-1834 Turkish monies, 1834-1885 Egyptian piastre, 1885-present Egyptian pound",EYXRXDE.,Primary source is Oxford Economics eop ,0.0,,0,0.0,,0,0.0,8.1,1,0,0.0,963.0,163.0,97041072.0,Africa,Egypt,EGY,1105000.0,940.0,China,Hu Jintao,,Egypt,Cairo,2004-11-21,2004-11-21,"Hu Jintao met with Japanese Prime Minister Junichiro Koizumi., Hu Jintao met with Mexican President Vicente Fox.","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Junichiro Koizumi, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Vicente Fox",,http://www.chinavitae.com//vip/index.php?mode=show&id=2928,2004.0
303,19,EGY,Egypt,2004,0.0,,0.0,0.0,6.1314,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"pre-1834 Turkish monies, 1834-1885 Egyptian piastre, 1885-present Egyptian pound",EYXRXDE.,Primary source is Oxford Economics eop ,0.0,,0,0.0,,0,0.0,8.1,1,0,0.0,964.0,163.0,97041072.0,Africa,Egypt,EGY,1105000.0,951.0,China,Hu Jintao,,Egypt,Cairo,2004-01-29,2004-01-30,"Hu Jintao held talks with Egyptian President Muhammed Hosni Mubarak., Hu Jintao met with Ahmed Fathi Sorour, speaker of the Egyptian People's Assembly and Mustapha Kamal Helmi, speaker of the Egyptian Advisory Council., Hu Jintao paid a visit to the Arab League's General Secretariat and met with Amr Mahmoud Moussa, the league's secretary-general and Arab representatives at the Arab League headquarters. 
","Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Hosni Mubarak, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Mustapha Kamal Helmi, Ahmed Fathi Sorour, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Amr Mahmoud Moussa",,http://www.chinavitae.com//vip/index.php?mode=show&id=1496,2004.0
372,22,FRA,France,2015,,,0.0,0.0,0.9207,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"13th century-1795 livre tournois, 1795-1998 French franc 1999-present, euro",FRENFR$,Primary source is GFD market eop; alt1 series is RR-Pick's official eop; alt2 series is RR-Pick's parallel eop.,0.0,,0,0.0,,0,,0.1,1,0,0.0,285.0,43.0,67106161.0,Europe,France,-99,2699000.0,796.0,China,Xi Jinping,,France,Paris,2015-11-29,2015-11-30,"Chinese president arrives in Paris for climate change conference, Chinese president meets French counterpart in Paris, China to continue to advance int'l climate cooperation, China, France to work together to make Paris climate talks a success, No zero-sum game mentality in Paris climate talks, Xi urges developed countries to honor commitments on climate finance, technology transfer, Xi, Putin agree to enhance anti-terrorism cooperation,  Xi, Obama meet in Paris, pledging cooperation on ties, climate change, China, Brazil to strengthen ties, climate cooperation, Xi sends strong signals at Paris climate talks","Xi Jinping, Francois Hollande, Xi Jinping, Vladimir Putin, Xi Jinping, Barack Obama, Xi Jinping, Dilma Rousseff, Xi Jinping",http://news.xinhuanet.com/english/2015-12/01/c_134870803.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=23624,2015.0
377,23,DEU,Germany,2002,0.0,,0.0,0.0,0.95,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0.0,,0,0.0,,0,1.0,1.3,1,0,0.0,672.0,121.0,80594017.0,Europe,Germany,DEU,3979000.0,967.0,China,Jiang Zemin,,Germany,,2002-04-08,2002-04-13,"Tour in Europe,Africa,Iran","Chancellor Gerhard Schroede,  German Democratic Socialist Party Chairman Zimmer, Minister-President Sigmar Gabriel",http://en.people.cn/200204/10/eng20020410_93792.shtml,,2002.0
383,23,DEU,Germany,2005,0.0,,0.0,0.0,0.85,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0.0,,0,0.0,,0,0.0,1.9,1,1,0.0,671.0,121.0,80594017.0,Europe,Germany,DEU,3979000.0,923.0,China,Hu Jintao,,Germany,Berlin,2005-11-10,2005-11-11,"Hu Jintao met with German President Horst K, Hu Jintao met with German Parliament speaker Norbert Lammert., Hu Jintao met with Berlin Mayor Klaus Wowereit., Hu Jintao met with German Chancellor Gerhard Schroeder., Hu Jintao met with Angela Merkel, German designated chancellor.","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Xu Kuangdi, Horst K, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Norbert Lammert, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Klaus Wowereit, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Gerhard Schroeder, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Angela Merkel",,http://www.chinavitae.com//vip/index.php?mode=show&id=4322,2005.0
402,23,DEU,Germany,2014,0.0,,0.0,0.0,0.82,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1871-1923 mark,1923-1923 rentenmark, 1924-1948 reichsmark, 1948-1998 deutschemark",DMARKE$,Primary source is IMF Official eop,0.0,,0,0.0,,0,0.0,0.8,1,0,0.0,669.0,121.0,80594017.0,Europe,Germany,DEU,3979000.0,824.0,China,Xi Jinping,,Germany,DÃ¼sseldorf,2014-03-28,2014-03-29,"Xin Jinping Holds Talks with Angela Merkel, Announcing the Establishment of #China-#Germany All-Round Strategic Partnership, #China, #Germany vow to push for open world economy, Chinese, German presidents meet on ties #China #Germany, #China, #Germany establish comprehensive strategic partnership, Chinese president reaffirms adherence to peaceful development, Xi Jinping Visits Chinese Youth Football Players Trained in #Germany #China, Xi urges German entrepreneurs to seize ""#China opportunities"" #Germany, President Xi calls on #China, #Germany to build Silk Road economic belt","Xi Jinping, Angela Merkel, Xi Jinping, Joachim Gauck, Xi Jinping, Angela Merkel, Xi Jinping, Sigmar Gabriel, Hannelore Kraft, Soren Link",http://english.chinamil.com.cn/,http://www.chinavitae.com//vip/index.php?mode=show&id=19381,2014.0
434,25,GRC,Greece,2008,1.0,,1.0,0.0,0.72,0.7151,0.7151,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"18th century-Turkish monies, 1828-1838-phoenix, 1838-1999 drachma, 2000-present euro",GREDRA$,Primary source is US dollar level; alt1 series is adjusted series US dollar level-eop; alt2 series is IFS-euro since 2001 level-eop.,0.0,,0,0.0,,0,1.0,4.2,1,0,0.0,683.0,123.0,10768477.0,Europe,Greece,GRC,290500.0,884.0,China,Hu Jintao,,Greece,Athens,2008-11-24,2008-11-25,"Hu Jintao held talks with Greek President Karolos Papoulias., Hu Jintao met with Greek Prime Minister Costas Karamanlis.","Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Karolos Papoulias, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Costas Karamanlis",http://news.xinhuanet.com/english/2008-11/26/content_10412438.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=7090,2008.0
440,25,GRC,Greece,2014,1.0,,1.0,0.0,0.82,0.8264,0.8264,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"18th century-Turkish monies, 1828-1838-phoenix, 1838-1999 drachma, 2000-present euro",GREDRA$,Primary source is US dollar level; alt1 series is adjusted series US dollar level-eop; alt2 series is IFS-euro since 2001 level-eop.,0.0,,0,0.0,,0,1.0,-1.4,1,0,0.0,682.0,123.0,10768477.0,Europe,Greece,GRC,290500.0,821.0,China,Xi Jinping,,Greece,Rhodes,2014-07-13,2014-07-13,"#China, #Greece agree to enhance comprehensive strategic partnership, #China, #Greece vow to further deepen bilateral ties","Xi Jinping, Antonis Samaras, Xi Jinping, Karolos Papoulias",http://news.xinhuanet.com/english/china/2014-07/14/c_126746192.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=20207,2014.0
480,28,HUN ,Hungary,2004,0.0,,0.0,0.0,180.29,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"19th century-gulden, 1920-1925-Korona, 1925-1946-Pengoe,1946-present-forint",HNXRXDE.,Primary source is US dollar level.,0.0,,0,0.0,,0,0.0,6.8,1,0,0.0,612.0,115.0,9850845.0,Europe,Hungary,HUN,267600.0,947.0,China,Hu Jintao,,Hungary,Budapest,2004-06-10,2004-06-11,"Hu Jintao held talks with Hungarian President Madl Ferenc., Hu Jintao met with Hungarian Prime Minister Medgyessy Peter. 
, Hu Jintao met with Szili Katalin, President of the Hungarian National Assembly. ","Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Madl Ferenc, Hu Jintao, Bo Xilai, Tang Jiaxuan, Medgyessy Peter, Hu Jintao, Bo Xilai, Tang Jiaxuan, Szili Katalin",,http://www.chinavitae.com//vip/index.php?mode=show&id=2123,2004.0
