Order,Country of president,President,Location continent,Location country,Location city,Date start,Date end,Subject,Participants,Source,Link
29,USA,W. BUSH,,Portugal,Terceira Island (Azores),16.3.2003,16.3.2003,"Discussed the Iraq crisis with British Prime Minister Blair, Spanish 
President Aznar, and Portuguese Prime Minister Durao.",,,
30,USA,W. BUSH,,United Kingdom,"Belfast, Hillsborough (Northern Ireland)",7.4.2003,8.4.2003,"Met with Prime Minister Blair to discuss the reconstruction of Iraq. Also 
met with Irish Prime Minister Ahern and Northern Irish political leaders.",,,
31,USA,W. BUSH,,Poland,"Krakow, Auschwitz-Birkenau",30.5.2003,31.5.2003,"Met with President Kwasniewski and Prime Minister Miller; visited former 
Nazi concentration camps.",,,
32,USA,W. BUSH,,Russia,St. Petersburg,31.5.2003,1.6.2003,"Met with President Putin and attended ceremonies commemorating the city’s 
300th anniversary.",,,
33,USA,W. BUSH,,France,Evian-les-Bains,1.6.2003,2.6.2003,Attended the G-8 Economic Summit and met with Chinese President Hu Jintao.,,,
34,USA,W. BUSH,,Egypt,Sharm el-Sheikh,2.6.2003,3.6.2003,"Attended “Red Sea Summit” with the leaders of Bahrain, Egypt, Jordan, and 
Saudi Arabia, and with Palestinian Prime Minister Abbas.",,,
35,USA,W. BUSH,,Jordan,Aqaba,4.6.2003,4.6.2003,"Attended meetings with Israeli Prime Minister Sharon and Palestinian Prime 
Minister Abbas. Met with King Abdullah II.",,,
36,USA,W. BUSH,,Qatar,Doha,4.6.2003,5.6.2003,"Met with Emir Hamad Thani, visited U.S. Central Command headquarters and 
addressed U.S. military personnel. Overflew Baghdad en route to Qatar.",,,
37,USA,W. BUSH,,Senegal,"Dakar, Goree Island",8.7.2003,8.7.2003,Met with President Wade.,,,
38,USA,W. BUSH,,South Africa,Pretoria,8.7.2003,10.7.2003,Met with President Mbeki.,,,
39,USA,W. BUSH,,Botswana,Gaborone,10.7.2003,10.7.2003,Met with President Mogae. Toured Mokoldi Nature Reserve.,,,
40,USA,W. BUSH,,Uganda,Kampala,11.7.2003,11.7.2003,Met with President Musaveni.,,,
41,USA,W. BUSH,,Nigeria,Abuja,11.7.2003,12.7.2003,Met with President Obasanjo.,,,
42,USA,W. BUSH,,Japan,Tokyo,17.10.2003,18.10.2003,Met with Prime Minister Koizumi.,,,
43,USA,W. BUSH,,Philippines,Manila,18.10.2003,19.10.2003,"Addressed a joint session of the Philippine Congress and met with President 
Arroyo-Macapagal.",,,
44,USA,W. BUSH,,Thailand,Bangkok,18.10.2003,21.10.2003,Attended the APEC Summit Meeting.,,,
45,USA,W. BUSH,,Singapore,Singapore,21.10.2003,22.10.2003,Met with Prime Minister Goh Chok Tong.,,,
46,USA,W. BUSH,,Indonesia,Denpasar (Bali),22.10.2003,22.10.2003,Met with President Sukarnoputri and Muslim religious leaders.,,,
47,USA,W. BUSH,,Australia,Canberra,22.10.2003,22.10.2003,Met with Prime Minister Howard and addressed Parliament.,,,
48,USA,W. BUSH,,United Kingdom,"London, Sedgefield",18.11.2003,21.11.2003,State Visit.,,,
49,USA,W. BUSH,,Iraq,Baghdad,27.11.2003,27.11.2003,"Met with members of the Coalition Provisional Authority and the Iraqi 
Governing Council and addressed U.S. military personnel.",,,
50,USA,W. BUSH,,Mexico,Monterrey,12.1.2004,13.1.2004,Attended the Special Summit of the Americas.,,,
51,USA,W. BUSH,,Italy,Rome,4.6.2004,5.6.2004,Met with President Ciampi and Prime Minister Berlusconi.,,,
52,USA,W. BUSH,,Vatican City,,4.6.2004,4.6.2004,Met with Pope John Paul II.,,,
53,USA,W. BUSH,,France,"Paris, Colleville, Caen, Arromanches",5.6.2004,6.6.2004,Met with President Chirac and commemorated the 60th anniversary of D-Day.,,,
54,USA,W. BUSH,,Ireland,"Shannon, Dromoland Castle",25.6.2004,26.6.2004,Attended U.S.-EU Summit meeting and met with Prime Minister Ahern.,,,
55,USA,W. BUSH,,Turkey,"Ankara, Istanbul",26.6.2004,29.6.2004,"Met with President Sezer and Prime Minister Erdogan and attended NATO 
Summit meeting in Istanbul.",,,
56,USA,W. BUSH,,Chile,Santiago,19.11.2004,22.11.2004,Attended APEC Summit Meeting.,,,
57,USA,W. BUSH,,Colombia,Cartagena,22.11.2004,22.11.2004,Met with President Uribe.,,,
58,USA,W. BUSH,,Canada,"Ottawa, Gatineau, Halifax",30.11.2004,1.12.2004,Met with Prime Minister Martin.,,,
59,USA,W. BUSH,,Belgium,Brussels,20.2.2005,23.2.2005,Attended NATO and EU Summit Meetings.,,,
60,USA,W. BUSH,,Germany,"Mainz, Wiesbaden",23.2.2005,23.2.2005,Met with Chancellor Schroeder and visited U.S. military personnel.,,,
61,USA,W. BUSH,,Slovakia,Bratislava,23.2.2005,24.2.2005,Met with President Dzurinda and Russian President Putin.,,,
62,USA,W. BUSH,,Vatican City,,6.4.2005,8.4.2005,Attended the funeral of Pope John Paul II.,,,
63,USA,W. BUSH,,Italy,Rome,6.4.2005,8.4.2005,Met with President Ciampi and Prime Minister Berlusconi.,,,
64,USA,W. BUSH,,Latvia,Riga,6.5.2005,7.5.2005,Met with the presidents of the Baltic States.,,,
65,USA,W. BUSH,,Netherlands,"Maastricht, Valkenburg, Margraten",7.5.2005,8.5.2005,"Met with Prime Minister Balkenende and gave an address at a U.S. military 
cemetery.",,,
66,USA,W. BUSH,,Russia,Moscow,8.5.2005,9.5.2005,Met with President Putin and attended ceremonies commemorating VE Day.,,,
67,USA,W. BUSH,,Georgia,Tbilisi,9.5.2005,10.5.2005,Met with President Saakashvili.,,,
68,USA,W. BUSH,,Denmark,"Kastrup, Fredensborg, Copenhagen",5.7.2005,6.7.2005,Met with Queen Margrethe II and Prime Minister Rasmussen.,,,
69,USA,W. BUSH,,United Kingdom,Gleneagles (Scotland),6.7.2005,8.7.2005,Attended the G-8 Economic Summit.,,,
70,USA,W. BUSH,,Argentina,Mar del Plata,3.11.2005,5.11.2005,Attended the Summit of the Americas.,,,
71,USA,W. BUSH,,Brazil,Brasilia,5.11.2005,6.11.2005,Met with President Lula da Silva.,,,
72,USA,W. BUSH,,Panama,Panama City,6.11.2005,7.11.2005,Met with President Martin Torrijos.,,,
73,USA,W. BUSH,,Japan,Kyoto,15.11.2005,16.11.2005,Met with Prime Minister Koizumi.,,,
74,USA,W. BUSH,,South Korea,"Pusan, Gyeongju, Osan",16.11.2005,20.11.2005,Attended APEC Summit meeting and met with Russian President Putin.,,,
75,USA,W. BUSH,,China,Beijing,20.11.2005,21.11.2005,Met with President Hu and Prime Minister Wen.,,,
76,USA,W. BUSH,,Mongolia,Ulaanbaatar,21.11.2005,21.11.2005,Met with President Enkhbayar and Prime Minister Elbegdorj.,,,
77,USA,W. BUSH,,Ireland,Shannon,28.2.2006,28.2.2006,Met with U.S. Marines who were en route to Iraq.,,,
78,USA,W. BUSH,,Afghanistan,"Bagram, Kabul",1.3.2006,1.3.2006,"Met with President Karzai, dedicated new U.S. Embassy, and addressed U.S. 
military personnel.",,,
79,USA,W. BUSH,,India,"New Delhi, Hyderabad",1.3.2006,3.3.2006,Met with Prime Minister Singh. Signed nuclear cooperation agreement.,,,
80,USA,W. BUSH,,Pakistan,Islamabad,3.3.2006,4.3.2006,Met with President Musharraf.,,,
81,USA,W. BUSH,,Mexico,"Cancun, Chichen-Itza",30.3.2006,31.3.2006,Met with President Fox and Canadian Prime Minister Harper.,,,
82,USA,W. BUSH,,Iraq,Baghdad,13.6.2006,13.6.2006,Met with Prime Minister Maliki and addressed U.S. military personnel.,,,
83,USA,W. BUSH,,Austria,Vienna,20.6.2006,21.6.2006,Attended the U.S.-EU Summit.,,,
84,USA,W. BUSH,,Hungary,Budapest,21.6.2006,22.6.2006,"Met with President Solyom, Prime Minister Gyurcsany and commemorated the 
50th anniversary of the Hungarian Uprising.",,,
85,USA,W. BUSH,,Germany,"Stralsund, Trinwillershagen",12.7.2006,14.7.2006,Met with Chancellor Merkel.,,,
86,USA,W. BUSH,,Russia,St. Petersburg,14.7.2006,17.7.2006,"Attended the G-8 Economic Summit. Met with President Hu of China, July 16; 
and President Lula of Brazil and Prime Minister Singh of India, July 17.",,,
87,USA,W. BUSH,,Russia,Moscow,15.11.2006,15.11.2006,Met with President Putin.,,,
88,USA,W. BUSH,,Singapore,Singapore,16.11.2006,17.11.2006,"Met with Acting President Pillay and Prime Minister Lee. Addressed National 
Singapore University.",,,
89,USA,W. BUSH,,Vietnam,"Hanoi, Ho Chi Minh City",17.11.2006,20.11.2006,Attended APEC Leaders’ Meeting.,,,
90,USA,W. BUSH,,Indonesia,"Jakarta, Bogor",20.11.2006,20.11.2006,Met with President Yudhoyono.,,,
91,USA,W. BUSH,,Estonia,Tallinn,27.11.2006,28.11.2006,Met with President Ilves.,,,
92,USA,W. BUSH,,Latvia,Riga,28.11.2006,29.11.2006,Attended NATO Summit Meeting.,,,
93,USA,W. BUSH,,Jordan,Amman,29.11.2006,30.11.2006,Met with King Abdullah II and Iraqi Prime Minister al-Maliki.,,,
94,USA,W. BUSH,,Brazil,Sao Paulo,8.3.2007,9.3.2007,Met with President Lula da Silva.,,,
95,USA,W. BUSH,,Uruguay,Montevideo,9.3.2007,11.3.2007,Met with President Tabare Vazquez.,,,
96,USA,W. BUSH,,Colombia,Bogota,11.3.2007,11.3.2007,Met with President Uribe.,,,
97,USA,W. BUSH,,Guatemala,"Guatemala City, Santa Cruz Balanya, Iximche",11.3.2007,12.3.2007,Met with President Berger.,,,
98,USA,W. BUSH,,Mexico,"Merida, Uxmal",12.3.2007,14.3.2007,Met with President Calderon. Visited Mayan ruins.,,,
99,USA,W. BUSH,,Czechia,Prague,4.6.2007,5.6.2007,"Met with President Klaus and Prime Minister Topolanek. Addressed Conference 
on Democracy and Security.",,,
100,USA,W. BUSH,,Germany,Heiligen-damm,5.6.2007,8.6.2007,Attended the G-8 Summit Meeting. Also met with Chinese President Hu Jintao.,,,
101,USA,W. BUSH,,Poland,"Gdansk, Jurata Hel.",8.6.2007,8.6.2007,Met with President Kaczynski.,,,
102,USA,W. BUSH,,Italy,Rome,8.6.2007,10.6.2007,Met with Prime Minister Prodi and President Napolitano.,,,
103,USA,W. BUSH,,Vatican City,,9.6.2007,9.6.2007,Audience with Pope Benedict XVI.,,,
104,USA,W. BUSH,,Albania,Tirana,10.6.2007,10.6.2007,Met with President Moisu and Prime Minister Berisha.,,,
105,USA,W. BUSH,,Bulgaria,Sofia,10.6.2007,11.6.2007,Met with President Parvanov and Prime Minister Stanishev.,,,
106,USA,W. BUSH,,Canada,"Montebello, Quebec",20.8.2007,21.8.2007,"Attended North American Leaders’ Summit with Mexican President Calderon and 
Canadian Prime Minister Harper.",,,
107,USA,W. BUSH,,Iraq,Al-Assad Air Force Base,3.9.2007,3.9.2007,"Met with Gen. Petraeus, Secretary of State Rice, Secretary of Defense 
Gates, senior U.S. officials, and Iraqi political leaders.",,,
108,USA,W. BUSH,,Australia,Sydney,3.9.2007,8.9.2007,Attended APEC Leaders’ Meeting.,,,
109,USA,W. BUSH,,Israel,"Tel Aviv, Jerusalem",9.1.2008,11.1.2008,Met with Prime Minister Olmert and President Peres. Visited Yad Vashem.,,,
110,USA,W. BUSH,,Palestine,"Ramallah, Bethlehem",10.1.2008,10.1.2008,Met with President Abbas and visited the Church of the Nativity.,,,
111,USA,W. BUSH,,Kuwait,"Kuwait City, Camp Arifjan",11.1.2008,12.1.2008,"Attended Roundtable on Democracy and Development. Met with Gen. Petraeus 
and Ambassador Crocker at Camp Arifjan and addressed U.S. military 
personnel.",,,
112,USA,W. BUSH,,Bahrain,Manama,12.1.2008,13.1.2008,Met with King Hamad bin Isa al –Khalifa. Addressed U.S. military personnel.,,,
113,USA,W. BUSH,,United Arab Emirates,"Abu Dhabi, Dubai",13.1.2008,14.1.2008,"Met with President Khalifa bin Zayid al Nuhayyin and Crown Prince Sheikh 
Mohammed.",,,
114,USA,W. BUSH,,Saudi Arabia,"Riyadh, Al-Janadriyah",14.1.2008,16.1.2008,Met with King Abdullah.,,,
115,USA,W. BUSH,,Egypt,Sharm el-Sheikh,16.1.2008,16.1.2008,Met with President Mubarak.,,,
116,USA,W. BUSH,,Benin,Porto Novo,16.2.2008,16.2.2008,Met with President Boni.,,,
117,USA,W. BUSH,,Tanzania,"Dar es Salaam, Arusha",16.2.2008,19.2.2008,"Met with President Kikwete, signed Millennium Challenge agreement.",,,
118,USA,W. BUSH,,Rwanda,Kigali,19.2.2008,19.2.2008,Met with President Kagame and dedicated new Embassy.,,,
119,USA,W. BUSH,,Ghana,Accra,19.2.2008,21.2.2008,Met with President Kufuor.,,,
120,USA,W. BUSH,,Liberia,Liberia,21.2.2008,21.2.2008,Met with President Johnson Sirleaf.,,,
121,USA,W. BUSH,,Ukraine,Kyiv,31.3.2008,1.4.2008,Met with President Yushchenko and Prime Minister Tymoshenko.,,,
122,USA,W. BUSH,,Romania,Bucharest,2.4.2008,4.4.2008,"Met with President Basescu and Prime Minister Popescu-Tariceanu. Attended 
NATO, Euro-Atlantic Partnership Council, NATO-Ukraine Commission, and 
NATO-Russia Council Summit Meetings.",,,
123,USA,W. BUSH,,Croatia,Zagreb,4.4.2008,5.4.2008,Met with President Mesic.,,,
124,USA,W. BUSH,,Russia,Sochi,5.4.2008,6.4.2008,Met with President Putin and President-elect Medvedev.,,,
125,USA,W. BUSH,,Israel,"Tel Aviv, Jerusalem, Masada",14.5.2008,16.5.2008,"Met with President Peres and Prime Minister Olmert. Addressed the Knesset. 
Commemorated Israel’s 60th anniversary.",,,
126,USA,W. BUSH,,Saudi Arabia,"Riyadh, Al-Janadriyah",16.5.2008,17.5.2008,Met with King Abdullah.,,,
127,USA,W. BUSH,,Egypt,Sharm el-Sheikh,17.5.2008,18.5.2008,"Met with President Mubarak, King Abdullah II of Jordan, Palestinian 
Authority President Abbas and Prime Minister Fayyad, Afghan President 
Karzai and Pakistani Prime Minister Gilan. Addressed the World Economic 
Forum.",,,
128,USA,W. BUSH,,Slovenia,Ljubljana,9.6.2008,10.6.2008,"Met with President Turk and Prime Minister Jansa. Attended the EU-US Summit 
Meeting.",,,
129,USA,W. BUSH,,Germany,Meseberg,10.6.2008,11.6.2008,Met with Chancellor Merkel.,,,
130,USA,W. BUSH,,Italy,Rome,11.6.2008,13.6.2008,Met with President Napolitano and Prime Minister Berlusconi.,,,
131,USA,W. BUSH,,Vatican City,,13.6.2008,13.6.2008,Met with Pope Benedict XVI.,,,
132,USA,W. BUSH,,France,Paris,13.6.2008,15.6.2008,"Met with President Sarkozy. Addressed the OECD. Attended wreath-laying 
ceremonies at Suresnes and Mont Valerien.",,,
133,USA,W. BUSH,,United Kingdom,"London, Belfast",15.6.2008,16.6.2008,"Met with Queen Elizabeth II at Windsor Castle. Met with Prime Minister 
Blair and Quartet Representative Blair. In Belfast, met with First Minister 
Robertson and Deputy First Minister McGuinness.",,,
134,USA,W. BUSH,,Japan,Toyako,6.7.2008,9.7.2008,"Attended the G-8 Economic Summit. Also met with Tanzanian President 
Kikwete, Indian Prime Minister Singh, Chinese President Hu, and South 
Korean President Lee.",,,
135,USA,W. BUSH,,South Korea,"Seoul, Yongsan",5.8.2008,6.8.2008,Met with President Lee and addressed U.S. military personnel.,,,
136,USA,W. BUSH,,Thailand,Bangkok,6.8.2008,7.8.2008,Met with Prime Minister Samak and addressed Burmese activists.,,,
137,USA,W. BUSH,,China,Beijing,7.8.2008,11.8.2008,"Attended opening ceremonies of the Olympic Games. Dedicated a new U.S. 
Embassy. Met with President Hu and Russian Prime Minister Putin.",,,
138,USA,W. BUSH,,Peru,Lima,21.11.2008,23.11.2008,Attended the APEC Summit Meeting and met with President Garcia.,,,
139,USA,W. BUSH,,Iraq,Baghdad,14.12.2008,14.12.2008,"Met with President Talabani and Prime Minister Maliki. Signed Strategic 
Framework and Security Agreements. Visited U.S. military personnel.",,,
140,USA,W. BUSH,,Afghanistan,Kabul,14.12.2008,15.12.2008,Met with President Karzai and visited U.S. military personnel.,,,
141,USA,OBAMA,,Canada,Ottawa,19.2.2009,19.2.2009,Met with Prime Minister Harper.,,,
142,USA,OBAMA,,United Kingdom,London,31.3.2009,3.4.2009,"Met with Queen Elizabeth II and Prime Minister Brown. Attended the G-20 
Economic Summit Meeting.",,,
143,USA,OBAMA,,France,Strasbourg,3.4.2009,4.4.2009,Attended the NATO Summit Meeting.,,,
144,USA,OBAMA,,Germany,"Baden-Baden, Kehl",3.4.2009,4.4.2009,Attended a working dinner for NATO leaders.,,,
145,USA,OBAMA,,Czechia,Prague,4.4.2009,5.4.2009,Attended U.S.-European Union Summit meeting.,,,
146,USA,OBAMA,,Turkey,"Ankara, Istanbul",5.4.2009,7.4.2009,"Met with President Gul and Prime Minister Erdogan; addressed the Grand 
National Assembly.",,,
147,USA,OBAMA,,Iraq,Baghdad,7.4.2009,7.4.2009,Met with President Talabani and U.S. military personnel.,,,
148,USA,OBAMA,,Mexico,Mexico City,16.4.2009,17.4.2009,Met with President Calderon.,,,
149,USA,OBAMA,,Trinidad and Tobago,Port-of-Spain,17.4.2009,19.4.2009,Attended the Summit of the Americas.,,,
150,USA,OBAMA,,Saudi Arabia,Riyadh,3.6.2009,4.6.2009,Met with King Abdullah.,,,
151,USA,OBAMA,,Egypt,Cairo,4.6.2009,4.6.2009,Met with President Mubarak and delivered and address at Cairo University.,,,
152,USA,OBAMA,,Germany,"Dresden, Weimar, Landstuhl",4.6.2009,5.6.2009,"Met with Chancellor Merkel, visited the Buchenwald concentration camp and 
visited wounded U.S. military personnel.",,,
153,USA,OBAMA,,France,"Paris, Caen",5.6.2009,7.6.2009,"Met with President Sarkozy and dedicated the new visitor center at the U.S. 
Military Cemetery in Normandy.",,,
154,USA,OBAMA,,Russia,Moscow,6.7.2009,8.7.2009,Met with President Medvedev and Prime Minister Putin.,,,
155,USA,OBAMA,,Italy,"Rome, L’Aquila",8.7.2009,10.7.2009,"Attended the G-8 Summit Meeting. Also met with the leaders of Angola, 
Algeria, Australia, Brazil, China, Egypt, India, Mexico, Nigeria, Senegal, 
South Africa, and various international organizations.",,,
156,USA,OBAMA,,Vatican City,,10.7.2009,10.7.2009,Audience with Pope Benedict XVI.,,,
157,USA,OBAMA,,Ghana,"Accra, Cape Coast",10.7.2009,11.7.2009,Met with President Mills and addressed Parliament.,,,
158,USA,OBAMA,,Mexico,Guadalajara,9.8.2009,10.8.2009,Attended the North American Leaders’ Summit.,,,
159,USA,OBAMA,,Denmark,Copenhagen,2.10.2009,2.10.2009,"Addressed a session of the International Olympic Committee and met with 
Prime Minister Rasmussen.",,,
160,USA,OBAMA,,Japan,Tokyo,13.11.2009,14.11.2009,Met with Emperor Akihito and Prime Minister Hatoyama.,,,
161,USA,OBAMA,,Singapore,Singapore,14.11.2009,15.11.2009,Attended the APEC Leaders’ Meeting.,,,
162,USA,OBAMA,,China,"Shanghai, Beijing",15.11.2009,18.11.2009,"Met with President Hu, National People’s Congress Chairman Wu, and Premier 
Wen. Visited the Great Wall.",,,
163,USA,OBAMA,,South Korea,"Osan, Seoul",18.11.2009,19.11.2009,Met with President Lee.,,,
164,USA,OBAMA,,Norway,Oslo,10.12.2009,11.12.2009,Met with King Harald V and Queen Sonja. Received the Nobel Peace Prize.,,,
165,USA,OBAMA,,Denmark,Copenhagen,18.12.2009,18.12.2009,Attended the UN Climate Change Conference.,,,
166,USA,OBAMA,,Afghanistan,"Kabul, Bagram",28.3.2010,28.3.2010,Met with President Karzai and addressed U.S. military personnel.,,,
167,USA,OBAMA,,Czechia,Prague,8.4.2010,9.4.2010,"Signed Strategic Arms Reduction Treaty with Russia. Also met with the 
Presidents of the Czech Republic, Estonia, Latvia, and Romania; and with 
the Prime Ministers of Bulgaria, Croatia, the Czech Republic, Hungary, 
Lithuania, Poland, Slovakia, and Slovenia.",,,
168,USA,OBAMA,,Canada,"Muskoka, Toronto",25.6.2010,27.6.2010,Attended the G-8 and G-20 Economic Summit Meetings.,,,
169,USA,OBAMA,,India,"Mumbai, New Delhi",6.11.2010,9.11.2010,"Attended U.S.-India Business and Entrepreneurship Summit in Mumbai. Met 
with Prime Minister Singh and President Patil. Addressed the Indian 
Parliament.",,,
170,USA,OBAMA,,Indonesia,Jakarta,9.11.2010,10.11.2010,Met with President Yudhoyono.,,,
171,USA,OBAMA,,South Korea,Seoul,10.11.2010,12.11.2010,Met with President Lee; attended the G-20 Summit Meeting.,,,
172,USA,OBAMA,,Japan,"Yokohama, Kamakura",12.11.2010,14.11.2010,Attended the Asia-Pacific Economic Cooperation’s CEO Summit Meetings.,,,
173,USA,OBAMA,,Portugal,Lisbon,19.11.2010,20.11.2010,Attended the NATO and U.S.-European Union Summit Meetings.,,,
174,USA,OBAMA,,Afghanistan,Bagram,3.12.2010,3.12.2010,"Met with the leaders of the U.S. military and diplomatic missions and 
visited U.S. military personnel.",,,
175,USA,OBAMA,,Brazil,"Brasilia, Rio de Janeiro",19.3.2011,21.3.2011,Met with President Roussef.,,,
176,USA,OBAMA,,Chile,Santiago,21.3.2011,22.3.2011,Met with President Pinera.,,,
177,USA,OBAMA,,El Salvador,San Salvador,22.3.2011,23.3.2011,Met with President Funes.,,,
178,USA,OBAMA,,Ireland,"Dublin, Farmleigh, Moneygall",23.5.2011,23.5.2011,"Met with President McAleese and Prime Minister Kenny. Visited ancestral 
home.",,,
179,USA,OBAMA,,United Kingdom,London,23.5.2011,26.5.2011,"Met with Queen Elizabeth II, Prime Minister Cameron, and Labour Party 
leader Miliband.",,,
180,USA,OBAMA,,France,"Deauville, Paris",26.5.2011,27.5.2011,Attended the G-8 Economic Summit.,,,
181,USA,OBAMA,,Poland,Warsaw,27.5.2011,28.5.2011,Met with President Komorowski and Prime Minister Tusk.,,,
182,USA,OBAMA,,France,Cannes,3.11.2011,4.11.2011,Attended the G-20 Summit Meeting.,,,
183,USA,OBAMA,,Australia,"Canberra, Darwin",16.11.2011,17.11.2011,"Met with Prime Minister Gillard. Announced a new military cooperation 
agreement.",,,
184,USA,OBAMA,,Indonesia,Bali,17.11.2011,20.11.2011,Attended the ASEAN and East Asia Summit Meetings.,,,
185,USA,OBAMA,,South Korea,Seoul,25.3.2012,27.3.2012,"Attended the Nuclear Security Summit. Met with President Lee Myung-bak and 
visited the Demilitarized Zone.",,,
186,USA,OBAMA,,Colombia,Cartagena,13.4.2012,15.4.2012,Attended the Summit of the Americas.,,,
187,USA,OBAMA,,Afghanistan,Kabul,1.5.2012,2.5.2012,"Met with President Karzai and addressed U.S. military personnel. Signed a 
long-term strategic partnership agreement.",,,
188,USA,OBAMA,,Mexico,Cabo San Lucas,17.6.2012,19.6.2012,Attended the G-20 Economic Summit meeting.,,,
189,USA,OBAMA,,Thailand,Bangkok,18.11.2012,19.11.2012,Met with King Bhumibol Adulyadej and Prime Minister Yingluck Shinawatra.,,,
190,USA,OBAMA,,Myanmar,Rangoon,19.11.2012,19.11.2012,"Met with President Thein Sein, National League for Democracy leader Aung 
San Suu Kyi, and representatives of Burmese civil society.",,,
191,USA,OBAMA,,Cambodia,Phnom Penh,19.11.2012,19.11.2012,"Met with Prime Minister Hun Sen and a U.S.-ASEAN Leaders’ meeting, a 
Trans-Pacific Partnership meeting, and the East Asia Summit meeting.",,,
192,USA,OBAMA,,Israel,"Tel Aviv, Jerusalem",20.3.2013,22.3.2013,Met with President Shimon Peres and Prime Minister Benjamin Netanyahu.,,,
193,USA,OBAMA,,Palestine,"Ramallah, Al-Bireh, Bethlehem",21.3.2013,22.3.2013,Met with President Mahmoud Abbas.,,,
194,USA,OBAMA,,Jordan,"Amman, Petra",22.3.2013,24.3.2013,Met with King Abdullah II.,,,
195,USA,OBAMA,,Mexico,Mexico City,2.5.2013,3.5.2013,Met with President Enrique Pena Nieto.,,,
196,USA,OBAMA,,Costa Rica,San Jose,3.5.2013,4.5.2013,"Met with President Laura Chinchilla and leaders of the Central American 
Integration System.",,,
197,USA,OBAMA,,United Kingdom,"Belfast, Enniskillen",16.6.2013,18.6.2013,Attended the G-8 Economic Summit Meeting.,,,
