,Unnamed: 0,pop_est,continent,name,iso_a3,gdp_md_est,Order,Country of president,President,Location continent,Location country,Location city,Date start,Date end,Subject,Participants,Source,Link,year
479,104,8468555,Asia,Tajikistan,TJK,25810,572,Russia,Putin,,Tajikistan,,10.5.2007,,"Vladimir Putin met with the President of Tajikistan, Emomali Rahmon",,,http://en.kremlin.ru/events/president/trips/45733,2007
480,104,8468555,Asia,Tajikistan,TJK,25810,647,Russia,Putin,,Tajikistan,,18.10.2004,,A protocol was signed in Dushanbe on Russia joining the Central Asian Cooperation Organisation,,,http://en.kremlin.ru/events/president/trips/48820,2004
481,104,8468555,Asia,Tajikistan,TJK,25810,648,Russia,Putin,,Tajikistan,,16.10.2004,,President Vladimir Putin has signed an order on signing the protocol on the Russian Federation joining the agreement founding the Central Asian Cooperation Organisation,,,http://en.kremlin.ru/events/president/trips/45536,2004
482,104,8468555,Asia,Tajikistan,TJK,25810,676,Russia,Putin,,Tajikistan,,28.4.2003,,Dushanbe hosted a meeting of the Collective Security Council of the Collective Security Treaty member states,,,http://en.kremlin.ru/events/president/trips/48892,2003
483,104,8468555,Asia,Tajikistan,TJK,25810,677,Russia,Putin,,Tajikistan,,27.4.2003,,President Vladimir Putin took part in a meeting of the Interstate Council of the Eurasian Economic Community (EurAsEC),,,http://en.kremlin.ru/events/president/trips/48891,2003
484,104,8468555,Asia,Tajikistan,TJK,25810,678,Russia,Putin,,Tajikistan,,26.4.2003,,President Vladimir Putin and Tajik President Emomali Rakhmonov held negotiations,,,http://en.kremlin.ru/events/president/trips/45484,2003
485,104,8468555,Asia,Tajikistan,TJK,25810,706,Russia,Putin,,Tajikistan,,22.10.2001,,President Vladimir Putin met with Tajik President Emomali Rakhmonov and Afghan President Burhanuddin Rabbani in bilateral and tripartite formats,,,http://en.kremlin.ru/events/president/trips/45690,2001
486,104,8468555,Asia,Tajikistan,TJK,25810,754,China,Xi Jinping,,Tajikistan,Dushanbe,15.6.2019,16.6.2019,"Chinese, Turkish presidents vow to promote bilateral cooperation, Xi urges joint efforts to open up new prospects for Asian security, development , Xi urges joint efforts to open up new prospects for Asian security, development , Xi met with Emomali Rahmon in Dushanbe, receives the Order of the Crown, Tajikistan's highest decoration, Xi addressed fifth summit of the Conference on Interaction and Confidence Building Measures in Asia (CICA) held in Tajikistan, Xi's Central Asia trip cements neighborhood friendship, regional cooperation","Xi Jinping, Recep Erdogan, Xi Jinping, Emomali Rahmon, Xi Jinping",http://www.xinhuanet.com/english/2019-06/16/c_138148183.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=29682,2019
490,105,5789122,Asia,Kyrgyzstan,KGZ,21010,313,Russia,Putin,,Kyrgyzstan,,13.6.2019,,Vladimir Putin arrived in Bishkek,,,http://en.kremlin.ru/events/president/trips/60760,2019
491,105,5789122,Asia,Kyrgyzstan,KGZ,21010,316,Russia,Putin,,Kyrgyzstan,,28.3.2019,,State visit to Kyrgyzstan,,,http://en.kremlin.ru/events/president/trips/60166,2019
492,105,5789122,Asia,Kyrgyzstan,KGZ,21010,352,Russia,Putin,,Kyrgyzstan,,14.4.2017,,Meeting of the Supreme Eurasian Economic Council,,,http://en.kremlin.ru/events/president/trips/54299,2017
493,105,5789122,Asia,Kyrgyzstan,KGZ,21010,353,Russia,Putin,,Kyrgyzstan,,28.2.2017,,Russian-Kyrgyzstani talks,,,http://en.kremlin.ru/events/president/trips/53970,2017
495,105,5789122,Asia,Kyrgyzstan,KGZ,21010,425,Russia,Putin,,Kyrgyzstan,,28.5.2013,,Meeting with President of Kyrgyzstan Almazbek Atambayev,,,http://en.kremlin.ru/events/president/trips/18209,2013
496,105,5789122,Asia,Kyrgyzstan,KGZ,21010,434,Russia,Putin,,Kyrgyzstan,,20.9.2012,,Visit to Kyrgyzstan,,,http://en.kremlin.ru/events/president/trips/16514,2012
498,105,5789122,Asia,Kyrgyzstan,KGZ,21010,548,Russia,Dmitry Medvedev,,Kyrgyzstan,,10.9.2008,,Dmitry Medvedev held talks with President of Kyrgyzstan Kurmanbek Bakiev in Bishkek,,,http://en.kremlin.ru/events/president/trips/4562,2008
499,105,5789122,Asia,Kyrgyzstan,KGZ,21010,664,Russia,Putin,,Kyrgyzstan,,23.10.2003,,President Vladimir Putin met Kyrgyz President Askar Akayev,,,http://en.kremlin.ru/events/president/trips/45503,2003
500,105,5789122,Asia,Kyrgyzstan,KGZ,21010,685,Russia,Putin,,Kyrgyzstan,,12.5.2002,,President Vladimir Putin had negotiations with Kyrgyz President Askar Akayev,,,http://en.kremlin.ru/events/president/trips/45468,2002
504,106,5351277,Asia,Turkmenistan,TKM,94720,304,Russia,Putin,,Turkmenistan,,10.11.2019,,Meeting with President of Turkmenistan Gurbanguly Berdimuhamedov,,,http://en.kremlin.ru/events/president/trips/61796,2019
505,106,5351277,Asia,Turkmenistan,TKM,94720,343,Russia,Putin,,Turkmenistan,,10.2.2017,,Vladimir Putin arrives in Turkmenistan,,,http://en.kremlin.ru/events/president/trips/55764,2017
507,106,5351277,Asia,Turkmenistan,TKM,94720,478,Russia,Dmitry Medvedev,,Turkmenistan,,22.10.2010,,Russian-Turkmenistani talks,,,http://en.kremlin.ru/events/president/trips/9319,2010
508,106,5351277,Asia,Turkmenistan,TKM,94720,507,Russia,Dmitry Medvedev,,Turkmenistan,,22.12.2009,,Talks were held between President of Russia Dmitry Medvedev and President of Turkmenistan Gurbanguly Berdimuhamedov,,,http://en.kremlin.ru/events/president/trips/6432,2009
509,106,5351277,Asia,Turkmenistan,TKM,94720,520,Russia,Dmitry Medvedev,,Turkmenistan,,13.9.2009,,"Dmitry Medvedev visited the city of Turkmenbashi, where he took part in the ceremonies marking the final stage of the Silk Way Rally Dakar Series 2009 and held talks with President of Turkmenistan Gurbanguly Berdimuhamedov",,,http://en.kremlin.ru/events/president/trips/5456,2009
510,106,5351277,Asia,Turkmenistan,TKM,94720,555,Russia,Dmitry Medvedev,,Turkmenistan,,7.4.2008,,High-level Russian-Turkmenistani talks were held in Ashgabat,,,http://en.kremlin.ru/events/president/trips/4556,2008
511,106,5351277,Asia,Turkmenistan,TKM,94720,583,Russia,Putin,,Turkmenistan,,5.12.2007,,"Agreements between Russia, Turkmenistan and Kazakhstan on constructing a trans-Caspian pipeline and on developing gas transportation facilities in Central Asia will result in increased deliveries of energy supplies to European and world markets",,,http://en.kremlin.ru/events/president/trips/48845,2007
512,106,5351277,Asia,Turkmenistan,TKM,94720,584,Russia,Putin,,Turkmenistan,,5.11.2007,,President Vladimir Putin held talks with President of Turkmenistan Gurbanguly Berdymukhammedov,,,http://en.kremlin.ru/events/president/trips/45638,2007
513,106,5351277,Asia,Turkmenistan,TKM,94720,696,Russia,Putin,,Turkmenistan,,23.4.2002,,The leaders of the five Caspian states discussed problems of the Caspian Sea,,,http://en.kremlin.ru/events/president/trips/45478,2002
514,106,5351277,Asia,Turkmenistan,TKM,94720,835,China,Xi Jinping,,Turkmenistan,Mary,9.3.2013,9.4.2013,"Chinese president arrives in Ashkhabad, starts maiden trip to #Central Asia #China #Turkmenistan , Chinese, Turkmenian presidents discuss bilateral ties #China #Turkmenistan, #China, #Turkmenistan agree to promote energy cooperation, #China, #Turkmenistan complete first-phase construction of Galkynysh gas field #Turkmenistan #China","Xi Jinping, Gurbanguly Berdymukhamedov, Xi Jinping, Gurbanguly Berdymukhamedov, Xi Jinping, Gurbanguly Berdymukhamedov",http://news.xinhuanet.com/english/china/2013-09/04/c_132691759.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=17899,2013
515,106,5351277,Asia,Turkmenistan,TKM,94720,869,China,Hu Jintao,,Turkmenistan,,13.12.2009,14.12.2009,"Hu Jintao met with Uzbek President Islam Karimov., Hu Jintao met with Turkmen President Gurbanguly Berdymukhamedov., Hu Jintao, Turkmen President Gurbanguly Berdymukhamedov, Kazakh President Nursultan Nazarbayev and Uzbek President Islam Karimov attended the inauguration ceremony of the China-Central Asia natural gas pipeline in the gas plant.","Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Islam Karimov, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Gurbanguly Berdymukhamedov, Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Gurbanguly Berdymukhamedov, Nursultan Nazarbayev, Islam Karimov",http://news.xinhuanet.com/english/2009-12/14/content_12645369.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=8001,2009
516,106,5351277,Asia,Turkmenistan,TKM,94720,889,China,Hu Jintao,,Turkmenistan,Ashgabat,29.8.2008,29.8.2008,Hu Jintao held talks with Turkmen President Gurbanguly Berdymukhamedov.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Gurbanguly Berdymukhamedov",http://news.xinhuanet.com/english/2008-08/29/content_9737829.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=6868,2008
517,107,82021564,Asia,Iran,IRN,1459000,329,Russia,Putin,,Iran,,9.7.2018,,Meeting with President of Turkey Recep Tayyip Erdogan,,,http://en.kremlin.ru/events/president/trips/58493,2018
518,107,82021564,Asia,Iran,IRN,1459000,342,Russia,Putin,,Iran,,11.1.2017,,Vladimir Putin arrived in Tehran,,,http://en.kremlin.ru/events/president/trips/55998,2017
519,107,82021564,Asia,Iran,IRN,1459000,376,Russia,Putin,,Iran,,23.11.2015,,Talks with Supreme Leader of Iran Ali Khamenei,,,http://en.kremlin.ru/events/president/trips/50772,2015
520,107,82021564,Asia,Iran,IRN,1459000,568,Russia,Putin,,Iran,,16.10.2007,,Vladimir Putin took part in the second Caspian Summit,,,http://en.kremlin.ru/events/president/trips/45737,2007
522,107,82021564,Asia,Iran,IRN,1459000,964,China,Jiang Zemin,,Iran,Tehran,20.4.2002,22.4.2002,"Tour in Europe,Africa,Iran","President Mohammad Khatam, Chairman of Iran's State Expediency Council Ali Akbar Hashemi Rafsanjani and Mahdi Karrubi, Speaker of the Iranian Islamic Consultative Assembly (Majlis)",http://www.chinaembassy.org.zw/eng/xwdt/t148965.htm,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zzjg_663340/xybfs_663590/gjlb_663594/2818_663626/2820_663630/t16325.shtml,2002
523,108,18028549,Asia,Syria,SYR,50280,339,Russia,Putin,,Syria,,12.11.2017,,Vladimir Putin visited Khmeimim Air Base in Syria,,,http://en.kremlin.ru/events/president/trips/56365,2017
524,108,18028549,Asia,Syria,SYR,50280,496,Russia,Dmitry Medvedev,,Syria,,5.10.2010,,Dmitry Medvedev arrived in Syria on an official visit,,,http://en.kremlin.ru/events/president/trips/7712,2010
525,109,3045191,Asia,Armenia,ARM,26300,361,Russia,Putin,,Armenia,,14.10.2016,,Vladimir Putin arrived in Yerevan,,,http://en.kremlin.ru/events/president/trips/53123,2016
526,109,3045191,Asia,Armenia,ARM,26300,385,Russia,Putin,,Armenia,,24.4.2015,,Vladimir Putin arrived in Yerevan,,,http://en.kremlin.ru/events/president/trips/49338,2015
527,109,3045191,Asia,Armenia,ARM,26300,413,Russia,Putin,,Armenia,,12.2.2013,,Vladimir Putin visited the town of Gyumri as part of his state visit to Armenia,,,http://en.kremlin.ru/events/president/trips/19749,2013
528,109,3045191,Asia,Armenia,ARM,26300,485,Russia,Dmitry Medvedev,,Armenia,,19.8.2010,,Dmitry Medvedev arrived in Armenia on a state visit,,,http://en.kremlin.ru/events/president/trips/8705,2010
529,109,3045191,Asia,Armenia,ARM,26300,546,Russia,Dmitry Medvedev,,Armenia,,20.10.2008,,Dmitry Medvedev arrived in Armenia on an official visit,,,http://en.kremlin.ru/events/president/trips/4563,2008
530,109,3045191,Asia,Armenia,ARM,26300,633,Russia,Putin,,Armenia,,24.3.2005,,President Vladimir Putin has arrived in the Republic of Armenia on a working visit,,,http://en.kremlin.ru/events/president/trips/45552,2005
531,109,3045191,Asia,Armenia,ARM,26300,711,Russia,Putin,,Armenia,,14.9.2001,,President Vladimir Putin arrived in Armenia on an official visit,,,http://en.kremlin.ru/events/president/trips/45680,2001
534,110,9960487,Europe,Sweden,SWE,498100,203,USA,OBAMA,,Sweden,Stockholm,9.4.2013,9.5.2013,Met with King Carl XVI Gustaf and Prime Minister John Fredrik Reinfeldt.,,,,2013
535,110,9960487,Europe,Sweden,SWE,498100,512,Russia,Dmitry Medvedev,,Sweden,,18.11.2009,,Dmitry Medvedev met with Swedish Prime Minister Fredrik Reinfeldt,,,http://en.kremlin.ru/events/president/trips/6047,2009
536,110,9960487,Europe,Sweden,SWE,498100,722,Russia,Putin,,Sweden,,23.3.2001,,An interview with President Vladimir Putin published in the Swedish newspaper Svenska Dagbladet,,,http://en.kremlin.ru/events/president/trips/45670,2001
537,110,9960487,Europe,Sweden,SWE,498100,898,China,Hu Jintao,,Sweden,Stockholm,6.9.2007,6.10.2007,"Hu Jintao met with Swedish King Carl XVI Gustaf., Hu Jintao held official talks with Swedish Prime Minister Fredrik Reinfeldt.","Hu Jintao, Tang Jiaxuan, Carl XVI Gustaf, Hu Jintao, Tang Jiaxuan, Fredrik Reinfeldt",http://news.xinhuanet.com/english/2007-06/10/content_6224005.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=5958,2007
538,111,9549747,Europe,Belarus,BLR,165400,310,Russia,Putin,,Belarus,,30.6.2019,,Meeting with IOC President Thomas Bach,,,http://en.kremlin.ru/events/president/trips/60868,2019
539,111,9549747,Europe,Belarus,BLR,165400,325,Russia,Putin,,Belarus,,10.12.2018,,Meeting with President of Belarus Alexander Lukashenko,,,http://en.kremlin.ru/events/president/trips/58811,2018
540,111,9549747,Europe,Belarus,BLR,165400,333,Russia,Putin,,Belarus,,19.6.2018,,Vladimir Putin arrived in Belarus,,,http://en.kremlin.ru/events/president/trips/57821,2018
542,111,9549747,Europe,Belarus,BLR,165400,371,Russia,Putin,,Belarus,,6.8.2016,,Russian-Belarusian talks,,,http://en.kremlin.ru/events/president/trips/52131,2016
543,111,9549747,Europe,Belarus,BLR,165400,374,Russia,Putin,,Belarus,,25.2.2016,,Meeting with President of Belarus Alexander Lukashenko,,,http://en.kremlin.ru/events/president/trips/51393,2016
544,111,9549747,Europe,Belarus,BLR,165400,388,Russia,Putin,,Belarus,,2.12.2015,,Normandy format talks,,,http://en.kremlin.ru/events/president/trips/47698,2015
545,111,9549747,Europe,Belarus,BLR,165400,397,Russia,Putin,,Belarus,,10.10.2014,,Commonwealth of Independent States summit,,,http://en.kremlin.ru/events/president/trips/47095,2014
547,111,9549747,Europe,Belarus,BLR,165400,406,Russia,Putin,,Belarus,,7.2.2014,,70th anniversary of the liberation of Belarus from Nazi occupation,,,http://en.kremlin.ru/events/president/trips/46143,2014
548,111,9549747,Europe,Belarus,BLR,165400,411,Russia,Putin,,Belarus,,29.4.2014,,Meeting of Supreme Eurasian Economic Council,,,http://en.kremlin.ru/events/president/trips/20881,2014
549,111,9549747,Europe,Belarus,BLR,165400,417,Russia,Putin,,Belarus,,24.10.2013,,Supreme Eurasian Economic Council meeting,,,http://en.kremlin.ru/events/president/trips/19514,2013
550,111,9549747,Europe,Belarus,BLR,165400,446,Russia,Putin,,Belarus,,6.1.2012,,Official visit to Belarus,,,http://en.kremlin.ru/events/president/trips/15522,2012
551,111,9549747,Europe,Belarus,BLR,165400,511,Russia,Dmitry Medvedev,,Belarus,,27.11.2009,,Dmitry Medvedev took part in the summit meeting of the Eurasian Economic Community Interstate Council and meeting of the Interstate Council in its capacity as highest body of the Customs Union,,,http://en.kremlin.ru/events/president/trips/6154,2009
552,111,9549747,Europe,Belarus,BLR,165400,557,Russia,Dmitry Medvedev,,Belarus,,22.6.2008,,Dmitry Medvedev took part in events commemorating the Day of Memory and Sorrow,,,http://en.kremlin.ru/events/president/trips/4554,2008
553,111,9549747,Europe,Belarus,BLR,165400,565,Russia,Putin,,Belarus,,14.12.2007,,The Russian-Belarusian Union State Supreme State Council has completed its session in Minsk,,,http://en.kremlin.ru/events/president/trips/48865,2007
555,111,9549747,Europe,Belarus,BLR,165400,605,Russia,Putin,,Belarus,,23.6.2006,,The Intergovernmental Council of the Eurasian Economic Community held a session,,,http://en.kremlin.ru/events/president/trips/45590,2006
556,111,9549747,Europe,Belarus,BLR,165400,606,Russia,Putin,,Belarus,,23.6.2006,,A session of the Collective Security Treaty Organisation Council for Collective Security took place,,,http://en.kremlin.ru/events/president/trips/48838,2006
557,111,9549747,Europe,Belarus,BLR,165400,654,Russia,Putin,,Belarus,,7.1.2004,,President Vladimir Putin took part in celebrations to honour the 60th anniversary of Belarus' liberation from the Nazi invaders,,,http://en.kremlin.ru/events/president/trips/45530,2004
558,111,9549747,Europe,Belarus,BLR,165400,684,Russia,Putin,,Belarus,,19.1.2003,,President Vladimir Putin and his Belarusian counterpart Aleksandr Lukashenko had a working dinner,,,http://en.kremlin.ru/events/president/trips/48876,2003
559,111,9549747,Europe,Belarus,BLR,165400,715,Russia,Putin,,Belarus,,25.7.2001,,"The Presidents of Russia, Belarus and Ukraine met in Vitebsk",,,http://en.kremlin.ru/events/president/trips/48867,2001
560,111,9549747,Europe,Belarus,BLR,165400,720,Russia,Putin,,Belarus,,31.5.2001,,President Vladimir Putin attended the first meeting of the Interstate Council of the Eurasian Economic Community,,,http://en.kremlin.ru/events/president/trips/45676,2001
561,111,9549747,Europe,Belarus,BLR,165400,804,China,Xi Jinping,,Belarus,Minsk,5.10.2015,5.12.2015,"China, Belarus vow to combine development strategies, boost partnership, Chinese president arrives in Belarus for state visit, Chinese president honors Belarusian WWII veterans, Xi calls for broader China-Belarus cooperation at local level, China, Belarus pledge closer cooperation on industrial park, Xi calls for early ratification of China-Belarus cooperation treaty, President Xi visits China-Belarus Industrial Park in Minsk","Xi Jinping, Alexander Lukashenko, Xi Jinping, Mikhail Myasnikovich, Vladimir Andreichenko, Xi Jinping, Alexander Lukashenko",http://news.xinhuanet.com/english/photo/2015-05/13/c_134233452.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=22243,2015
562,111,9549747,Europe,Belarus,BLR,165400,973,China,Jiang Zemin,,Belarus,,19.7.2001,19.7.2001,European Tour,Alexander Lukashenko,https://www.fmprc.gov.cn/mfa_eng//wjb_663304/zzjg_663340/dozys_664276/gjlb_664280/3140_664302/3142_664306/t16627.shtml,,2001
563,112,44033874,Europe,Ukraine,UKR,352600,121,USA,W. BUSH,,Ukraine,Kyiv,31.3.2008,4.1.2008,Met with President Yushchenko and Prime Minister Tymoshenko.,,,,2008
564,112,44033874,Europe,Ukraine,UKR,352600,420,Russia,Putin,,Ukraine,,27.7.2013,,Beginning of meeting with President of Ukraine Viktor Yanukovych,,,http://en.kremlin.ru/events/president/trips/18965,2013
565,112,44033874,Europe,Ukraine,UKR,352600,436,Russia,Putin,,Ukraine,,7.12.2012,,Visit to the camp of the Night Wolves Motoclub,,,http://en.kremlin.ru/events/president/trips/15980,2012
566,112,44033874,Europe,Ukraine,UKR,352600,454,Russia,Dmitry Medvedev,,Ukraine,,18.10.2011,,Second Russian-Ukrainian Interregional Economic Forum,,,http://en.kremlin.ru/events/president/trips/13104,2011
567,112,44033874,Europe,Ukraine,UKR,352600,462,Russia,Dmitry Medvedev,,Ukraine,,26.4.2011,,Memorial events in Chernobyl,,,http://en.kremlin.ru/events/president/trips/11096,2011
568,112,44033874,Europe,Ukraine,UKR,352600,494,Russia,Dmitry Medvedev,,Ukraine,,17.5.2010,,Russian-Ukrainian summit talks,,,http://en.kremlin.ru/events/president/trips/7787,2010
569,112,44033874,Europe,Ukraine,UKR,352600,499,Russia,Dmitry Medvedev,,Ukraine,,21.4.2010,,Dmitry Medvedev met with President of Ukraine Viktor Yanukovych,,,http://en.kremlin.ru/events/president/trips/7520,2010
570,112,44033874,Europe,Ukraine,UKR,352600,593,Russia,Putin,,Ukraine,,22.12.2006,,President Vladimir Putin paid a visit to Ukraine,,,http://en.kremlin.ru/events/president/trips/45607,2006
571,112,44033874,Europe,Ukraine,UKR,352600,634,Russia,Putin,,Ukraine,,19.3.2005,,President Vladimir Putin held talks with Ukrainian President Viktor Yushchenko,,,http://en.kremlin.ru/events/president/trips/45550,2005
572,112,44033874,Europe,Ukraine,UKR,352600,646,Russia,Putin,,Ukraine,,26.10.2004,,"In a live broadcast of three national Ukrainian television channels, President Vladimir Putin answered questions by television viewers",,,http://en.kremlin.ru/events/president/trips/45537,2004
573,112,44033874,Europe,Ukraine,UKR,352600,652,Russia,Putin,,Ukraine,,26.7.2004,,Vladimir Putin paid a one-day visit to Ukraine,,,http://en.kremlin.ru/events/president/trips/45532,2004
574,112,44033874,Europe,Ukraine,UKR,352600,658,Russia,Putin,,Ukraine,,23.5.2004,,Vladimir Putin met with President of Kazakhstan Nursultan Nazarbayev,,,http://en.kremlin.ru/events/president/trips/48900,2004
575,112,44033874,Europe,Ukraine,UKR,352600,659,Russia,Putin,,Ukraine,,23.1.2004,,President Vladimir Putin presented state awards to several Ukrainian citizens for their contribution to the development of Russian-Ukrainian friendship and cooperation,,,http://en.kremlin.ru/events/president/trips/45514,2004
576,112,44033874,Europe,Ukraine,UKR,352600,669,Russia,Putin,,Ukraine,,17.9.2003,,President Vladimir Putin met with Ukrainian President Leonid Kuchma,,,http://en.kremlin.ru/events/president/trips/48881,2003
577,112,44033874,Europe,Ukraine,UKR,352600,675,Russia,Putin,,Ukraine,,30.4.2003,,President Vladimir Putin met with Ukrainian President Leonid Kuchma,,,http://en.kremlin.ru/events/president/trips/45485,2003
578,112,44033874,Europe,Ukraine,UKR,352600,682,Russia,Putin,,Ukraine,,28.1.2003,,President Vladimir Putin held a meeting with Georgian President Eduard Shevardnadze,,,http://en.kremlin.ru/events/president/trips/48877,2003
579,112,44033874,Europe,Ukraine,UKR,352600,683,Russia,Putin,,Ukraine,,27.1.2003,,President Vladimir Putin and Ukrainian President Leonid Kuchma opened the Year of Russia in Ukraine in an official ceremony,,,http://en.kremlin.ru/events/president/trips/45470,2003
580,112,44033874,Europe,Ukraine,UKR,352600,690,Russia,Putin,,Ukraine,,10.6.2002,,President Vladimir Putin visited the Dnieper hydroelectric plant on the 70th anniversary of its construction,,,http://en.kremlin.ru/events/president/trips/45463,2002
581,112,44033874,Europe,Ukraine,UKR,352600,697,Russia,Putin,,Ukraine,,17.3.2002,,"Odessa hosted a trilateral meeting of the Russian, Ukrainian and Moldovan heads of state",,,http://en.kremlin.ru/events/president/trips/48863,2002
582,112,44033874,Europe,Ukraine,UKR,352600,702,Russia,Putin,,Ukraine,,14.12.2001,,Vladimir Putin took part in the Russian-Ukrainian Economic Forum,,,http://en.kremlin.ru/events/president/trips/45724,2001
583,112,44033874,Europe,Ukraine,UKR,352600,713,Russia,Putin,,Ukraine,,23.8.2001,,President Vladimir Putin forwarded to Ukrainian President Leonid Kuchma a congratulatory message on the 10th anniversary of Ukraine's independence,,,http://en.kremlin.ru/events/president/trips/45718,2001
584,112,44033874,Europe,Ukraine,UKR,352600,714,Russia,Putin,,Ukraine,,28.7.2001,,President Vladimir Putin and Ukraine's President Leonid Kuchma attended the consecration of St Vladimir's Cathedral,,,http://en.kremlin.ru/events/president/trips/48866,2001
585,112,44033874,Europe,Ukraine,UKR,352600,725,Russia,Putin,,Ukraine,,2.12.2001,,The Presidents of Russia and Ukraine held negotiations in Dnepropetrovsk,,,http://en.kremlin.ru/events/president/trips/45706,2001
586,112,44033874,Europe,Ukraine,UKR,352600,854,China,Hu Jintao,,Ukraine,Kiev,17.6.2011,20.6.2011,"Yanukovych expects President Hu's visit to push Sino-Ukrainian ties to new high, Chinese president kicks off state visit to Ukraine, Chinese, Ukrainian presidents meet on ties, President Hu Jintao Meets with Ukrainian Parliament Speaker Lytvyn, President Hu Jintao Meets with Ukrainian Prime Minister Azarov
, President Hu Jintao Winds up Eurasia Tour and Returns Home
, Chinese, Ukrainian presidents hold talks on boosting bilateral ties, China, Ukraine clinch cooperation deals, Chinese president winds up Eurasia tour, Chinese president calls for closer cooperation with Ukraine","Hu Jintao, Viktor Yanukovich, Hu Jintao, Viktor Yanukovych, Hu Jintao, Volodymyr Lytvyn, Hu Jintao, Mykola Azarov, Hu Jintao, Viktor Yanukovych, Hu Jintao, Dai Bingguo, Andrey Klyuyev, Hu Jintao, Viktor Yanukovich, Hu Jintao, Mykola Azarov",http://news.xinhuanet.com/english2010/china/2011-06/20/c_13940269.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=11265,2011
587,112,44033874,Europe,Ukraine,UKR,352600,971,China,Jiang Zemin,,Ukraine,,21.7.2001,21.7.2001,European tour,Prime Minister Anatoly Kinakh,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zzjg_663340/dozys_664276/gjlb_664280/3205_664342/3207_664346/t16711.shtml,,2001
588,113,38476269,Europe,Poland,POL,1052000,6,USA,W. BUSH,,Poland,Warsaw,15.6.2001,16.6.2001,State visit.,,,,2001
589,113,38476269,Europe,Poland,POL,1052000,31,USA,W. BUSH,,Poland,"Krakow, Auschwitz-Birkenau",30.5.2003,31.5.2003,"Met with President Kwasniewski and Prime Minister Miller; visited former 
Nazi concentration camps.",,,,2003
590,113,38476269,Europe,Poland,POL,1052000,101,USA,W. BUSH,,Poland,"Gdansk, Jurata Hel.",6.8.2007,6.8.2007,Met with President Kaczynski.,,,,2007
591,113,38476269,Europe,Poland,POL,1052000,181,USA,OBAMA,,Poland,Warsaw,27.5.2011,28.5.2011,Met with President Komorowski and Prime Minister Tusk.,,,,2011
592,113,38476269,Europe,Poland,POL,1052000,219,USA,OBAMA,,Poland,Warsaw,6.3.2014,6.4.2014,"Met with President Bronislaw Komorowski. Attended a Solidarity Dinner and a 
Freedom Day commemoration.",,,,2014
594,113,38476269,Europe,Poland,POL,1052000,268,USA,TRUMP,,Poland,Warsaw,7.5.2017,7.6.2017,"Met with President Andrzej Duda, delivered a public address, and addressed 
the Three Seas Summit.",,,,2017
595,113,38476269,Europe,Poland,POL,1052000,471,Russia,Dmitry Medvedev,,Poland,,12.6.2010,,Interview to Polish media,,,http://en.kremlin.ru/events/president/trips/9728,2010
596,113,38476269,Europe,Poland,POL,1052000,500,Russia,Dmitry Medvedev,,Poland,,18.4.2010,,Dmitry Medvedev met with Marshal of the Sejm of Poland Bronislaw Komorowski,,,http://en.kremlin.ru/events/president/trips/10779,2010
597,113,38476269,Europe,Poland,POL,1052000,637,Russia,Putin,,Poland,,27.1.2005,,President Vladimir Putin arrived in Krakow to take part in the events commemorating the 60th anniversary of the liberation of Auschwitz,,,http://en.kremlin.ru/events/president/trips/48823,2005
598,113,38476269,Europe,Poland,POL,1052000,699,Russia,Putin,,Poland,,16.1.2002,,Russian President Vladimir Putin and Polish President Aleksander Kwasniewski held negotiations in Warsaw,,,http://en.kremlin.ru/events/president/trips/45738,2002
599,113,38476269,Europe,Poland,POL,1052000,948,China,Hu Jintao,,Poland,Warsaw,6.8.2004,6.9.2004,"Hu Jintao and Polish President Aleksander Kwasniewski attended the signing ceremony of Sino-Polish Joint Communique., Hu Jintao met with Polish Senate Speaker Longin Hieronim Pastusiak., Hu Jintao met with Jozef Oleksy, speaker of the House of Representatives of Poland. , Hu Jintao met with Polish Prime Minister Marek Belka.","Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Aleksander Kwasniewski, Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Longin Hieronim Pastusiak, Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Jozef Oleksy, Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Marek Belka",,http://www.chinavitae.com//vip/index.php?mode=show&id=2115,2004
